qid,label_a,label_b,reason_a,reason_b,question,golds,adjudicated,class
1338,eligible,eligible,"The passages confirm Belichick has won six Super Bowls as head coach, more than any other coach mentioned, supporting the gold answer.","The question asks which NFL coach has the most Super Bowl rings, and the passages support Belichick as[passage text redacted]with six Super Bowl wins (plus additional assistant-coach rings), matching the gold.",which nfl coach has the most superbowl rings,"[""Bill Belichick""]",eligible,eligible
1342,eligible,ambiguous,"The passage confirms Magic Johnson's single-game All-Star record of 22 assists (with 60 possibly referring to a career total or another metric), matching the two recorded gold answers as plausible correct interpretations of the ambiguous but retrievable record.","The question doesn't specify whether it asks about a single-game assist record (Magic Johnson's 22 in 1984) or career All-Star assists total, and the golds 60 and 22 reflect different senses, so no single answer is determined.",most assists in an nba all star game,"[""60"", ""22""]",eligible,eligible
1370,ambiguous,ambiguous,"The question doesn't specify a year, and MLB season start/end dates vary by year (2018, 2019, 2021, etc.), so the gold mixing March 29 (2018 start) with October 31, 2018 conflates different years without a clear single answer.","The question asks about the MLB season's start and end without specifying a year, and since dates vary annually (the gold reflects 2018 while passages cover 2011, 2013, 2019, 2021), no single answer is determined.",when does the mlb season start and finish,"[""March 29"", ""October 31, 2018""]",ineligible,ambiguous
1372,eligible,eligible,"The passages confirm the famous quote about being famous for 15 minutes originates from Andy Warhol, matching the gold answer.","The question has a single well-known answer, Andy Warhol, and the passages explicitly attribute the famous 15-minutes-of-fame quote to him.",who said everyone will be famous for 15 minutes,"[""Andy Warhol""]",eligible,eligible
1375,eligible,ambiguous,"The passages confirm 1775 as the start of the Revolutionary War ([passage text redacted]) while 1765 reflects the earlier political unrest (Stamp Act era) often cited as the revolution's beginning, matching both recorded gold answers.","""The revolution"" can refer either to the armed war beginning in 1775 or to the broader political revolution starting with the 1760s tax acts (e.g., 1765 Stamp Act), and the question gives no criterion to pick between these two recorded golds.",when did the revolution begin in the united states,"[""1775"", ""1765""]",eligible,eligible
1376,eligible,unanswerable,"The question asks about the recurring[passage text redacted]on[passage text redacted]and the multiple recorded golds correctly reflect the various actors who played that character over the show's long run, consistent with the passages.","The question about actors who played Tom Hughes o[passage text redacted]has a sound multi-actor gold list, but the provided passages only mention a Peter who played Tom Hughes in 1968 and otherwise discuss unrelated Toms, so they do not establish the recorded list of actors.",who played tom on as the world turns,"[""Jason Kincaid (1984)"", ""Jason Kincaid"", ""C. David Colson"", ""Peter Galman"", ""Scott Holmes"", ""Gregg Marx"", ""Justin Deas"", ""others"", ""Tom Tammi""]",eligible,eligible
1396,eligible,eligible,"The passages confirm the Seahawks' only Super Bowl win was after the 2013 season (Super Bowl XLVIII, played Feb 2014), and they have not won since, so 2013 remains the correct and current answer.","The question asks for the Seahawks' most recent Super Bowl win, and the passages consistently confirm their sole Super Bowl title came in the 2013 season (played February 2014), matching the gold.",when was the last time the seattle seahawks won the superbowl,"[""2013""]",eligible,eligible
1418,eligible,ambiguous,"The question broadly asks which actors starred in[passage text redacted], and the passages confirm all the listed gold actors played major roles across the films.","The question doesn't specify which of the fiv[passage text redacted]ilms (or the franchise as a whole) is meant, and each installment has a different cast, so no single set of stars is determined.",who starred in the pirates of the caribbean,"[""Johnny Depp"", ""Orlando Bloom"", ""Geoffrey Rush"", ""Kevin McNally"", ""Jonathan Pryce"", ""Jack Davenport"", ""Keira Knightley""]",eligible,eligible
1419,unanswerable,unanswerable,"The passages mention Erica Rivera as a guest star but never state that she played a character named Bianca, so the corpus does not confirm the gold answer.","The passages only list Erica Rivera among many season-three guest stars without ever linking her to a character named Bianca, so they do not establish the answer.",who plays bianca in that's so raven,"[""Erica Rivera""]",ineligible,unanswerable
1423,eligible,eligible,"The passages repeatedly identify Ed Roland as the[passage text redacted]of Collective Soul, confirming the gold answer.","The question clearly identifies the[passage text redacted]and multiple passages confirm Ed Roland as its lead singer, matching the gold answer.",who is the lead singer of collective soul,"[""Ed Roland""]",eligible,eligible
1427,eligible,eligible,"The passages consistently affirm that Valmiki authored the original Sanskrit Ramayana, matching the recorded gold answer.","The question asks who authored the Ramayana, and the passages consistently credit the sage Valmiki, matching the recorded gold answers.",who penned the famous indian epic the ramayana,"[""Valmiki"", ""the Hindu sage Valmiki""]",eligible,eligible
1433,ambiguous,ambiguous,"The question lacks a specified year or season, so 'this year' is undefined and could refer to multiple seasons with different losses, making the gold answers unretrievable without that context.","""This year"" specifies no season, and the passages describe many different Virginia seasons with different opponents, so the intended edition is undetermined.",who did virginia cavaliers lose to in basketball this year,"[""Virginia Tech"", ""West Virginia"", ""UMBC""]",ineligible,ambiguous
